"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","27","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","createTfvarsFileWritesCorrectContent()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","1","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateNodeGroupThrowsExceptionWhenRegionIsNull()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","3","","de.lenneflow.lenneflowterraformserver.repository.AccessTokenRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.AccessTokenRepositoryTest","","findByUidReturnsNullWhenTokenDoesNotExist()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","0","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateClusterThrowsExceptionWhenRegionIsEmpty()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","2","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","saveCredentialSuccessfully()",""
"passed","Thu Jan 02 01:31:20 GMT 2025","Thu Jan 02 01:31:20 GMT 2025","6","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","pingReturnsErrorMessageWhenTerraformIsNotInstalled()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","3","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","findByUidReturnsClusterWhenExists()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","1","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateClusterThrowsExceptionWhenClusterNameIsNull()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","0","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateNodeGroupDoesNotThrowExceptionWhenValid()",""
"passed","Thu Jan 02 01:31:21 GMT 2025","Thu Jan 02 01:31:21 GMT 2025","2","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","findByCloudProviderAndClusterNameAndRegionReturnsNullWhenClusterDoesNotExist()",""
